인증사회적기업 리스트('16년 6차) 2016.12.27.,,,,,,,,,,,,
,,,,,,,,,,,,
지역,인증번호,기관명,사업내용,"사회적목적
실현유형",사회서비스분야,대표자,대표전화번호,팩스,소재지,홈페이지,인증일자,인증회차
경남,제2008-018호,㈜한찬코리아,인쇄출판 및 제조업,일자리제공형,기타,박상구,055-601-1000~2,055-715-7000,경상남도 창원시 의창구 천주로1번길 14(서상동),www.we-1004.co.kr,4/18/08,2008년 1차
서울,제2008-020호,주식회사 나눔사회,취약계층(고령자)쿠키제조 및 판매,일자리제공형,기타,황정애,02-455-3353,02-455-3391,서울특별시 광진구 광장동 244-24 B층,www.fortunecooky.co.kr,4/18/08,2008년 1차
경기,제2008-021호,남양주샬롬의집행복나눔도시락,결식아동 도시락 제공,혼합형,사회복지,이정호,031-594-2536,031-594-4575,경기도 남양주시 화도읍 녹촌리 산 33-9,www.shalomhouse.or.kr,4/18/08,2008년 1차
광주,제2008-022호,(사)시니어월드,"노인돌보미, 푸드뱅크 사업",혼합형,사회복지,홍요한,062-942-8208,062-941-2145,광주광역시 광산구 도산동 773-3,,4/18/08,2008년 1차
충북,제2008-023호,㈜세기위생방역,"소독, 방역",혼합형,청소,배문순,043-263-5119,043-264-5119,"충청북도 청주시 흥덕구 봉명로 239(봉명동,1층)",www.roach114.net,4/18/08,2008년 1차
경기,제2008-024호,주식회사 짜로사랑,"취약계층 두부생산, 판매",일자리제공형,기타,김동남,031-253-1494,031-256-1495,"경기도 수원시 팔달구 창룡대로210번길 13, 203호(우만동)",,4/18/08,2008년 1차
서울,제2008-025호,티팟㈜,"문화소외지역 소외계층을 위한 예술교육, 기획 등",기타형,문화예술,조주연,02-332-8823,02-332-8823,"서울특별시 은평구 통일로 684, 1동 304호(녹번동)",www.tea-pot.co.kr,4/18/08,2008년 1차
강원,제2008-026호,(유)늘푸른환경,깨끗한 학교만들기 등 청소,일자리제공형,청소,장지연,033-373-7282,033-375-7282,강원도 영월군 여월 하송리 110-50,,4/18/08,2008년 1차
서울,제2008-027호,㈜삶과돌봄,"노인요양시설 운영, 교육",혼합형,간병가사지원,장상수,02-356-2121,02-352-2059,서울특별시 은평구 연서로21길 27-20(갈현동),,4/18/08,2008년 1차
제주,제주특별자치도 제2008-001호,사회복지법인 평화의마을,"노동취약계층 햄, 소시지 가공, 장애인 거주시설 설치 및 운영",일자리제공형,기타,남시영,064-794-6277,064-794-6279,제주특별자치도 서귀포시 대정읍 구억리 308번지,www.peacevil.org,4/18/08,2008년 1차
제주,제주특별자치도 제2008-002호,사회복지법인 마로원,중증장애인 세탁사업,일자리제공형,기타,양은심,064-796-5777,064-796-6011,제주특별자치도 제주시 한림읍 상대리 4337-2번지,www.marojeju.org,4/18/08,2008년 1차
서울,제2008-028호,사회적기업 노란들판 유한회사,"장애인을 고용하여 출판, 인쇄, 현수막, 디자인물등을 제작 판매",일자리제공형,기타,박경석,02-469-9101,02-469-9102,"서울특별시 성북구 화랑로 278, 4층(석관동)",www.norandp.co.kr,7/11/08,2008년 2차
서울,제2008-029호,(재)민족의학연구원,"문턱없는밥집 및 기분좋은가게운영, 민족의서출간, 무료진료실시 등",기타형,기타,황상익,"02-322-3169
02-324-4190(식당)",02-322-3159,서울특별시 마포구 서교동 481-2 태복빌딩,http://www.kmif.org,7/11/08,2008년 2차
서울,제2008-031호,서울의료복지 사회적협동조합,"저소득 소외계층 진료, 재가간병가사서비스, 보건예방교육서비스 등",사회서비스제공형,간병가사지원,정은선,02-848-2150,02-848-2149,서울특별시 영등포구 대림로 76,http://www.medcoop.org,7/11/08,2008년 2차
서울,제2008-032호,함께걸음의료소비자생활협동조합,"한의원, 노인재가요양",기타형,간병가사지원,김윤태,070-8162-5364,02-937-5362,서울특별시 노원구 상계2동 389-583 덕원빌딩 2층,www.healthcoop.or.kr,7/11/08,2008년 2차
경기,제2008-033호,(주) 행복,도시락 제공,사회서비스제공형,사회복지,김인호,031-535-8555,031-535-8841,경기도 포천시 군내면 청성로 5 노인복지회관 지하1층,www.pcnanum.or.kr,7/11/08,2008년 2차
경기,제2008-034호,세종장애아동후원회 함께하는우리,지적장애우자립구축지원(중증장애우 생애주기별 평생통합관리)         ,혼합형,보육,김해돋이,031-907-7726,031-907-7743,"경기도 고양시 일산동구 애니골길 26-20(풍동,1층,2층)",www.hamwoori.com,7/11/08,2008년 2차
강원,제2008-035호,(합)햇살나눔,농촌종합지원센터사업,혼합형,기타,양정열,033-732-9123,033-343-9124,강원도 횡성군 우천면 수남로266번길 7,www.wjnanum.or.kr,7/11/08,2008년 2차
인천,제2008-036호,인천평화의료복지사회적협동조합,"저소득층진료사업, 재가간병서비스, 보건예방교육",사회서비스제공형,간병가사지원,조옥화,032-527-2033,032-526-7608,인천광역시 부평구 부개1동327-11,www.icmedcoop.or.kr,7/11/08,2008년 2차
경기,제2008-037호,안산의료복지 사회적협동조합,"저소득층 진료, 재가간병가사서비스, 보건예방교육서비스",사회서비스제공형,간병가사지원,경창수,031-401-2208,031-411-8333,"경기도 안산시 상록구 예술광장1로 46 301 (월피동, 로얄프라자)",www.asmedcoop.org,7/11/08,2008년 2차
경남,제2008-038호,주식회사 경남돌봄센터,간병,기타형,간병가사지원,박창균,055-286-8533,055-275-2984,"경상남도 창원시 성산구 연덕로184번길 28, 3동 2층 27호(내동, 공단상가)",http://www.knct.or.kr,7/11/08,2008년 2차
경북,제2008-040호,㈜제일산업,"종이컵 제조, 판매",일자리제공형,기타,정범수,054-972-7988,054-973-2355,경상북도  칠곡군 지천면 창평리 507,www.nanumicup.com,7/11/08,2008년 2차
경북,제2008-041호,사회복지법인유은복지재단나눔공동체,"새싹및어린잎채소재배, 현수막제작",일자리제공형,사회복지,이종만,054-858-9956,054-858-9984,경상북도  안동시 남선면 현내리 673번지,www.nanum21.org,7/11/08,2008년 2차
광주,제2008-042호,씨튼장애인직업재활센터,취약계층(장애인)직업재활사업,일자리제공형,교육,최은숙,062-973-1151,062-971-0064,광주광역시 북구 오룡동 1-1,http://www.setonhouse.or.kr,7/11/08,2008년 2차
전북,제2008-043호,(유)나눔푸드,"도시락, 출장뷔페",혼합형,기타,김치훈,063-433-7017,063-433-9017,전라북도 진안군 진안읍 거북바위로3길 15-22,http://www.nanumfood.or.kr,7/11/08,2008년 2차
전남,제2008-044호,민들레마을주식회사,돌봄서비스사업,혼합형,간병가사지원,정금희,061-681-0841/0847,061-681-0844,전라남도 여수시 시청서4길 48-5 (학동),,7/11/08,2008년 2차
전남,제2008-045호,해피락 주식회사,도시락,혼합형,기타,최영자,061-744-7993,061-744-7904,전라남도 순천시 가곡동 가곡택지지구 15블럭 2로트,,7/11/08,2008년 2차
전남,제2008-046호,사단법인사람과공간,집수리 및 주거복지사업,혼합형,기타,주종섭,061-651-2604,061-653-2606,전라남도 여수시 새터로 911(신기동),,7/11/08,2008년 2차
대전,제2008-047호,사회복지법인성재원성세재활자립원,"장애인의 인쇄/실사 및 전자제품, 임가공사업",일자리제공형,사회복지,남정훈,042-540-3300,042-540-3399,대전광역시 유성구 유성대로298번길 175(용계동),www.sungse.com,7/11/08,2008년 2차
충북,제2008-049호,㈜가온,"가사서비스,산모도우비 바우처",혼합형,사회복지,김지현,043-287-9091,043-265-9093,"충청북도 청주시 흥덕구 사직대로 83(사창동, 3층)",,7/11/08,2008년 2차
충북,제2008-050호,(주)휴먼케어,"중증장애인도우미,노인돌보미서비스",사회서비스제공형,사회복지,송유정,043-212-9194,043-212-9196,충청북도 청주시 청원군 오창읍 과학산업2로 274(엔젤델타 6층 601호),www.ehumancare.com,7/11/08,2008년 2차
충북,제2008-051호,사단법인 흙살림연구소,"농산물인증, 친환경농업교육,컨설팅,유통,출판",기타형,환경,이태근,043-833-5004,043-833-5007,충청북도  괴산군 불정면 앵천리 528,www.heuk.or.kr,7/11/08,2008년 2차
서울,제2008-052호,㈜파랑발,지하철택배,일자리제공형,기타,김남두,1544-1880,02-322-5518,서울특별시 서대문구 창천동 62-15 창천빌딩 5층,,10/23/08,2008년 3차
서울,제2008-055호,오가니제이션요리,"급식, 케이터링, 카페, 교육",혼합형,교육,"이지혜,
 한영미",02-2679-5525,02-2679-5535,서울특별시 영등포구 영신로 200 (영등포동7가),www.orgyori.com,10/23/08,2008년 3차
서울,제2008-056호,사단법인 한국아이티복지진흥원,정보격차 해소를 위한 PC보급,사회서비스제공형,기타,정일섭,02-2015-3500,02-2015-3501,"서울특별시 강남구 논현로30길 24 ,4층 (도곡동, 대호빌딩)",www.bokjinara.or.kr,10/23/08,2008년 3차
서울,제2008-057호,공존산하행복도시락노원점(사랑의손맛),도시락 / 반찬서비스 제공,혼합형,사회복지,백미선,02-932-9383,02-932-9389,서울특별시 노원구 상계2동 407-24 2층,,10/23/08,2008년 3차
서울,제2008-058호,실로암시각장애인복지회 실로암인더스트리(실로암장애인근로사업장),안마센터 및 카페 운영,일자리제공형,기타,박옥희,02-880-0850,02-887-1120,"서울특별시 금천구 가산디지털1로 151(가산동,이노플렉스1차1303,1304호)",http://www.silwel.or.kr,10/23/08,2008년 3차
경기,제2008-059호,사회복지법인 홍애원 장애인보호작업시설,"장애인 직업재활, 배전반, 인쇄물 제작",일자리제공형,사회복지,고정진,"031-902-6825, 031-963-6736","031-902-6824, 031-963-6749",경기도 고양시 덕양구 보광로 106번길  93(벽제동),http://www.sbhaw.com,10/23/08,2008년 3차
경기,제2008-060호,사회복지법인에덴복지재단에덴하우스,"장애인 직업재활, 종량제쓰레기봉투 제작·종이인쇄",일자리제공형,사회복지,정덕환,031-946-7030,031-946-7035,경기도 파주시 교하읍 신촌리 345,http://www.edenwelfare.org,10/23/08,2008년 3차
강원,제2008-061호,(유)열린사회서비스센터,"장애인 바우처, 산모·신생아 바우처, 가사간병",혼합형,간병가사지원,백명화,033-343-7132,033-343-7133,강원도 횡성군 횡성읍 읍상리 600-1,,10/23/08,2008년 3차
강원,제2008-062호,(유)빛드림,"학교, 공공시설등 청소용역사업",일자리제공형,청소,김경복,033-345-4030,033-345-4031,강원도 횡성군 횡성읍 북천로 11,http://socialcom.egagae.com/,10/23/08,2008년 3차
강원,제2008-064호,원주노인소비자생활협동조합,학교청소사업 및 노인일자리사업(택배),일자리제공형,사회복지,권용원,033-731-6080,033-748-6080,강원도 원주시 평원로 42(평원동),http://www.coop6080.com,10/23/08,2008년 3차
강원,제2008-065호,노암복지회OK돌보미사업단,"산모도우미, 영유아돌보미, 재가간병",일자리제공형,사회복지,김은희,033-643-4688,033-641-4688,강원도 강릉시 동부시장2길 18(옥천동),,10/23/08,2008년 3차
부산,제2008-066호,사회복지법인빛과소금복지재단(주는사랑사업단),장애인활동보조사업 및 도시락사업,사회서비스제공형,사회복지,김대훈,051-466-5522,051-466-5335,부산광역시 동구 초량동 1005-3번지,www.thesarang.org,10/23/08,2008년 3차
울산,제2008-071호,주식회사한백,산업용 세탁,일자리제공형,기타,이상봉,052-288-6636,052-288-6626,울산광역시 북구 연암동 179-3,,10/23/08,2008년 3차
울산,제2008-072호,(사)울산광역시지체장애인협회 여천장애인보호작업장,면장갑 제조 생산을 통한 직업재활,일자리제공형,기타,우수정,052-267-7033,052-267-7039,울산광역시 남구 상개로 202-21(상개동),http://www.ycweb.co.kr,10/23/08,2008년 3차
인천,제2008-075호,㈜다사랑보육서비스,다사랑방문보육,일자리제공형,보육,심옥빈,032-891-5675,032-232-4677,"인천광역시 남구 경인로 334-17 (주안동, 3층)",www.dasar.co.kr,10/23/08,2008년 3차
인천,제2008-076호,㈜에스이하우징,건설자재 도매업 및 소규모 건설공사,일자리제공형,기타,홍명표,032-529-4561,032-529-4562,"인천광역시 계양구 봉오대로 441-1(효성동, 상가동1층)",http://www.hjjm.co.kr/www.한국자활중앙물류.com,10/23/08,2008년 3차
인천,제2008-077호,농업회사법인 주식회사 콩세알,영농지원과 안심먹을 거리 나눔사업,일자리제공형,기타,서정훈,032-933-5591,032-933-5502,인천광역시 강화군 양사면 배우개길 69번길 27-16,www.kong3al.com,10/23/08,2008년 3차
경기,제2008-078호,행복도시락주식회사,"도시락 제조, 배달",혼합형,사회복지,박명혜,032-323-9946(440),032-323-9949,경기도 부천시 소사구 소사로134번길 21(소사본동),http://www.bcnanum.or.kr,10/23/08,2008년 3차
경기,제2008-080호,사회복지법인 가나안복지재단 가나안근로복지관,카트리지 재제조 사업등,일자리제공형,기타,백승완,031-707-0546,031-707-0548,경기도 성남시 분당구 야탑로 225(야탑동),www.cana999.or.kr,10/23/08,2008년 3차
전남,제2008-081호,사회적기업스마일에듀넷 주식회사,교육위탁사업,혼합형,간병가사지원,최재영,061-363-4041,061-362-7484,전라남도 곡성군 옥과면 대학로 112-14,www.심청복지회.com,10/23/08,2008년 3차
광주,제2008-082호,사단법인 해피웨이,"간병, 가정수발, 주간보호",혼합형,사회복지,공수자,062-959-9011,062-959-9014,광주광역시 광산구 신창동 1211-4,www.happyway.or.kr,10/23/08,2008년 3차
전북,제2008-084호,임실노인복지센터일자리사업단,희망과 아름다운 사랑을 전달하는 간병.가사사업,혼합형,사회복지,김정미,063-643-0263,063-643-0163,전라북도  임실군 관촌면 관촌리 281-4,,10/23/08,2008년 3차
전북,제2008-085호,우리노인복지센터행복나눔,"공동간병, 개인간병, 노인재가요양",혼합형,간병가사지원,박현정,063-255-7179,063-255-8279,전라북도  전주시 덕진구 진북동 1124-125,www.wooripj.com,10/23/08,2008년 3차
전북,제2008-086호,전주사회서비스센터,노인재가요양,혼합형,간병가사지원,노승혜,063-287-9769,063-282-9772,전라북도  전주시 완산구 서노송동 560-5 혜존빌딩 3층,www.jssc.kr,10/23/08,2008년 3차
전북,제2008-087호,추진장애인자립작업장,"수출, 내수용 양말가공",일자리제공형,사회복지,진숙선,063-452-0911,063-452-0912,전라북도 군산시 대야면 지경리 945-1,www.sunsox.co.kr,10/23/08,2008년 3차
전북,제2008-088호,부안낭주회,가사 및 재가간병,혼합형,간병가사지원,장석종,063-581-7301~2,063-581-7304,전라북도  부안군 부안읍 석정로 171 4층,,10/23/08,2008년 3차
전남,제2008-089호,목포이주외국인상담센터,통역지원사업 및 나눔인력사업,혼합형,사회복지,김재영,061-272-1560,061-272-1568,전라남도 목포시 대성동 172-9,hamchowon.co.kr,10/23/08,2008년 3차
전남,제2008-090호,사단법인 우리가꿈꾸는세상,간병,일자리제공형,간병가사지원,고두갑,061-287-1370,061-287-1372,전라남도 목포시 녹색로 34번길 21,www.dreamus.co.kr,10/23/08,2008년 3차
전남,제2008-092호,송정인더스트리,중증장애인직업재활,일자리제공형,사회복지,김영화,061-682-5999,061-681-0161,전라남도 여수시 소라면 관기리 348-3번지,http://www.sjltd.net,10/23/08,2008년 3차
전남,제2008-093호,주식회사맑은여수환경,"청소,소독,방역 사업",기타형,청소,김미경,061-685-6220,061-653-2606,전라남도 여수시 안산동 434-6,,10/23/08,2008년 3차
대전,제2008-094호,유한회사행복한밥상,"도시락, 출장뷔페",혼합형,기타,한경이,042-622-3152,042-622-3152,대전광역시 대덕구 송촌동 492-5,http://www.happybabsang.net,10/23/08,2008년 3차
