category,job,summary,responsibilities,url
Accounting & Finance,Certified Public Accountant,Responsible for preparing and analyzing financial reports for individuals and companies. Audit financial reports for compliance and review company's financial status to ensure there are no discrepancies.,"<ul><li> Maintain and audit company financial records. </li><li> Oversee budget and financial management. </li><li> Perform duties related to bookkeeping, preparation of government audits, taxes, and financial planning. </li><li> Recommend fiscally advantageous methods to save money. </li><li> Work with tax returns and analyze financial information to ensure taxes are paid on time. </li><li> Audit accounts for errors, misinformation, fraud, and overspending. </li><li> Report financial information to management. </li><li> Create and analyze budgets. </li><li> Advise management on tax ramifications of business decisions </li><li> Act as a consultant in areas such as compensation, benefits, and asset protection. </li><li> Oversee accounts payable and receivable. </li><li> Forecast revenue and analyze ledgers. </li><li> Identify and investigate variances. </li><li> Participate in strategic planning, fraud prevention, and budget development.</li></ul>",certified-public-accountant-job-description
Accounting & Finance,Chief Financial Officer,Responsible for overseeing all fiscal and fiduciary responsibilities for an organization. Collaborates and reports to the chief executive officer and plays an instrumental role in developing financial strategy.,"<ul><li> Assess organizational performance and report results to CEO. </li><li> Provide both operational and programmatic support to the company. </li><li> Develop annual budgets and long-term financial strategy. </li><li> Oversee long-term budgetary planning and cost management. </li><li> Supervise ledgers, accounts, and reporting systems to ensure compliance. </li><li> Maintain internal safeguards against fraud, overspending, and errors. </li><li> Oversee the management and coordination of all fiscal reporting activities for the organization. </li><li> Coordinate audits. </li><li> Manage cash flow and develop cash flow projections. </li><li> Optimize banking relationships. </li><li> Execute staff succession and growth plans. </li><li> Foster and cultivate stakeholder relationships. </li><li> Oversee purchasing payroll activity. </li><li> Produce monthly reports on reconciliations with funders and pension plan requirements. </li><li> Assist in creation and implementation of wage incentives and commissions. </li><li> Preside over business insurance plans and health coverage analysis. </li><li> Train finance department and other relevant staff. </li><li> Work with management to achieve strategic vision for company.</li></ul>",chief-financial-officer-job-description
Accounting & Finance,Compensation or Benefits Specialist,"Responsible for analyzing compensation data within an organization and evaluating job positions to determine classification and salary. Administers employee insurance, pension and savings plans and works with insurance brokers and plan carriers.","<ul><li> Design, implement, and manage salary classification and compensation programs </li><li> Conduct analysis of compensation and benefits within company. </li><li> Prepare occupational classifications, job descriptions, and salary scale. </li><li> Improve recruitment and retention. </li><li> Oversee competitive analysis, merit increases and salary structure. </li><li> Develop job descriptions for various positions and determine appropriate base pay. </li><li> Analyze surveys to ensure appropriate compensation across all departments. </li><li> Forecast budget for salary increases. </li><li> Administer and manage employee insurance plans. </li><li> Oversee pension and savings plans. </li><li> Advise on salary increase requests. </li><li> Negotiate collective agreements on behalf of employers or workers. </li><li> Research job and worker requirements, structural and functional relationships among jobs and occupations, and occupational trends. </li><li> Advises managers and employees on state and federal employment regulations, collective agreements, benefits and compensation policies, personnel procedures and classification programs.</li></ul>",compensation-or-benefits-specialist-job-description
Accounting & Finance,Controller,"Responsible for coordinating, planning, and reporting on the financial activities of an organization. Sets financial policies and oversee accounting, bookkeeping, and auditing departments.","<ul><li> Coordinate financial planning, debt financing, and budget management functions. </li><li> Collect, summarize, and interpret financial data. </li><li> Monitor monthly operating results. </li><li> Benchmark profits and losses against competitors or other departments. </li><li> Supervise record keeping and set up controls to ensure compliance. </li><li> Supervise all financial reports distributed by the company, including annual reports to stockholders and government agencies. </li><li> Plan purchases for new equipment. </li><li> Oversee loans to go towards new branches or factories. </li><li> Plan budgets and set fiscal limits. </li><li> Direct financial audits and recommend improvements. </li><li> Develop five year and ten year financial business plans. </li><li> Oversee debt financing and repayments. </li><li> Supervise accounting staff. </li><li> Develop forecasts for proposed projects of the organization. </li><li> Measure actual performance against operating plans and standards. </li><li> Establish major economic objectives and policies for the company.</li></ul>",controller-job-description
Accounting & Finance,Cost Estimator,Responsible for forecasting the expense and scope of projects within a company. Analyze business endeavors and envelop cost information for businesses to make sound financial decisions.,"<ul><li> Predict the expense of future projects or products by analyzing monetary costs and other factors. </li><li> Aid management in bidding on or determining price of product or service. </li><li> Break down all expenses related to a project including materials, labor, and other resources. </li><li> Help companies make sound buying and hiring decisions. </li><li> Plan project budgets. </li><li> Track projects throughout its course and recommend budget adjustments. </li><li> Review preliminary plans thoroughly. </li><li> Perform onsite investigations before, during, and after project. </li><li> Work with engineers to interpret blueprints or conceptual drawings. </li><li> Compile a list of parts and decides whether it is more cost efficient to manufacture or to purchase the parts. </li><li> Prepare time-phase charts and learning curves. </li><li> Calculate standard labor hours necessary to produce units or to complete project. </li><li> Find and correct problems associated with the project, product assembly, and testing.</li></ul>",cost-estimator-job-description
Accounting & Finance,Credit Analyst,"Responsible for analyzing credit and financial reports to determine risk involved in loaning money or extending credit. Scrutinizes financial data such as market share, income growth, and management quality to decide if loans will be lucrative.","<ul><li> Compare liquidity, profitability, and credit histories of individual or company being evaluated with similar establishments to determine risk.</li><li> Compile reports regarding finance and credit data.</li><li> Analyze the financial records like earnings, savings, payments and purchase of the company or individual and recommend other useful financial activity for further plans.</li><li> Manage files and records, stenography and transaction and other office procedure.</li><li> Complete loan applications, including credit analyses and summaries of loan requests, and submit to loan committees for approval.</li><li> Review individual or commercial customer files to identify and select delinquent accounts for collection.</li><li> Reconcile customer statements/billings.</li><li> Minimize bad debt risk and maximize accounts receivable collections.</li><li> Conduct collection calls and customer visits to collect Accounts Receivables.</li><li> Market, train, counsel, advise, and communicate credit department policy and procedures to company personnel.</li><li> Generate financial ratios, using computer programs, to evaluate customers' financial status.</li></ul>",credit-analyst-job-description
Accounting & Finance,Financial Analyst,"Responsible for providing financial advice and guidance to companies making investment decisions, which includes analyzing bonds, stocks, and commodities and a company's financial statements to help them make lucrative financial moves.","<ul><li> Analyze company financial statements and commodity prices, sales, costs, expenses, and tax rates to determine a company's value.</li><li> Employ statistical software and spreadsheets to study financial information.</li><li> Determine the value of securities.</li><li> Analyze all factors in the industry that influence the price of the companies' stocks.</li><li> Analyze how new regulations, policies, and political and economic trends may impact investments.</li><li> Evaluate the risk in portfolio decisions, project potential losses, and determine how to limit potential losses and volatility using diversification and other investment decisions</li><li> Explain investment decisions and strategies in meetings with investors.</li><li> Devise investment strategies.</li><li> Perform budget, cost, and credit analysis</li><li> Supervise a team of analysts and select the mix of products, industries, and regions for their company’s investment portfolio.</li><li> Evaluate the ability of companies or governments to pay their debts.</li><li> Oversee hedge and mutual funds.</li><li> Work with individuals to protect and assert their best economist interests.</li></ul>",financial-analyst-job-description
Accounting & Finance,Financial Examiner,"Responsible for analyzing financial records of an organization, business or corporation to confirm compliance with federal, state or local laws. Verify and inspect cash reserves, assigned collateral, and bank-owned securities in order to check internal control procedures.","<ul><li> Scrutinize financial reports and records to ensure compliance.</li><li> Confirm the authenticity and accuracy of financial records, and ensure that the organization they are investigating is financially solvent.</li><li> Conduct interviews with financial managers responsible for overseeing financial transactions.</li><li> Request transactions reports to ensure they are being processed correctly.</li><li> Review accounts on an individual basis to ensure compliance.</li><li> Evaluate internal and external audit reports, balance sheets, expense accounts, operating income accounts, tax documents, and special reports reflecting assets and liabilities.</li><li> Establish guidelines for procedures and policies that comply with new and revised regulations, and direct their implementation.</li><li> Go over the minutes of meetings of directors, stockholders and committees in order to investigate the specific authority extended at various levels of management.</li><li> Review and analyze new, proposed, or revised laws, regulations, policies, and procedures.</li><li> Participate in meetings with bank directors and trustees.</li><li> Analyze applications dealing with mergers, acquisitions,  establishment of new institutions, acceptance in Federal Reserve System, or registration of securities sales in order to determine their public interest value and conformance to regulations, and recommend acceptance or rejection.</li><li> Check filings for accuracy and make changes when necessary, and provide recommendations for ensuring compliance with laws and regulations.</li><li> Analyze audit reports and recommend improvements to internal processes.</li></ul>",financial-examiner-job-description
Accounting & Finance,Financial Manager,"Responsible for directing financial strategies at a company and overseeing the preparation of financial reports and direct investment activities. Approve or reject lines of credit and commercial, real estate, and personal loans.","<ul><li> Prepare or oversee the preparation of financial reports, such as income statements, balance sheets, and analyses of future earnings or expenses.</li><li> Manage the activities of workers in branches, offices, or departments of such establishments as branch banks, brokerage firms, risk and insurance departments, or credit departments.</li><li> Summarize and forecast on the state of the company's financial affairs.</li><li> Preside over budgets to set and meet goals.</li><li> Oversee the investment of funds, manage associated risks, supervise cash management activities, and execute capital-raising strategies to support the firm's expansion.</li><li> Establish procedures for custody and control of assets, records, loan collateral, and securities, in order to ensure safekeeping.</li><li> Coordinate risk and insurance programs of establishments to control risks and losses.</li><li> Prepare risk reports for management conferral.</li><li> Communicate risks and profits with stockholders and other investors.</li><li> Evaluate financial reporting systems, accounting and collection procedures, and investment activities, and make recommendations for changes to procedures, operating systems, budgets, and other financial control functions.</li><li> Monitor and control the flow of cash receipts and disbursements.</li><li> Determine whether loans must be obtained to meet cash requirements or whether surplus cash can be invested.</li><li> Solicit business, authorize loans, and direct the investment of funds, always adhering to Federal and State laws and regulations.</li><li> Develop financial and accounting systems for banking transactions.</li></ul>",financial-manager-job-description
Accounting & Finance,"Financial Manager, Branch or Department",Responsible for Directing  and coordinating financial strategies at a banking branch or department within an organization. Preside over activities of workers in the branch or department.,"<ul><li> Administer and manage all of the functions of a branch office.</li><li> Plan, direct, or coordinate the activities of workers in branches, offices, or departments of establishments, such as branch banks, brokerage firms, risk and insurance departments, or credit departments.</li><li> Hire and terminate personnel accordingly.</li><li> Supervise daily financial activities to ensure compliance.</li><li> Approve loans and lines of credit.</li><li> Determine risk clients when making credit decisions.</li><li> Network within community to drum up new business.</li><li> Assist customers to resolve account problems.</li><li> Preside over sales and business development.</li><li> Adjudicate disputes between financial advisors.</li><li> Manage financial advisors within the office, including the hiring and firing of.</li><li> Make the office and its parent firm a visible presence in community affairs and charitable activities.</li><li> Ensure the branch's goals and objectives are met in a timely fashion.</li><li> Review collection reports to determine the status of collections and the amounts of outstanding balances.</li><li> Establish procedures for custody or control of assets, records, loan collateral, or securities to ensure safekeeping.</li></ul>",financial-manager-branch-or-department-job-description
Accounting & Finance,Financial Planner,"Responsible for helping individuals and companies individuals examine their immediate and long-term financial situations to appropriate use their savings, income, and make investments. Analyze financial situations to determine risk, reward, and opportunity.","<ul><li> Prepares financial and business related analysis and research.</li><li> Draft consolidated forecasts and budgets and analyzes trends in revenue, expense, capital expenditures and other related areas.</li><li> Develop financial review templates and meetings.</li><li> Devise debt liquidation plans that include payoff priorities and timelines.</li><li> Explain to clients the details of financial assistance available to college and university students, such as loans, grants, and scholarships.</li><li> Implement financial planning recommendations.</li><li> Determine clients' current income, expenses, insurance coverage, tax status, financial objectives, risk tolerance, and other information needed to develop a financial plan.</li><li> Monitor market trends.</li><li> Make recommendations in areas such as areas as cash management, insurance coverage, and investment planning.</li><li> Sell financial products.</li><li> Review clients' accounts and plans regularly to determine life changes that would affect financial strategy.</li><li> Collect information from students to determine their eligibility for specific financial aid programs.</li><li> Convene with clients' other advisors, including attorneys, accountants, trust officers, and investment bankers, to fully understand clients' financial goals and circumstances.</li><li> Open accounts for clients and disburse funds according to financial goals.</li></ul>",financial-planner-job-description
Accounting & Finance,Financial Specialist,Responsible for selling products and services at a financial institution such as a bank. Meets with customers to determine needs and presents products accordingly.,"<ul><li> Assess clients' financial situation to determine if they need financial services such as investment services, insurance, or certificates of deposit.</li><li> Recommend both short-term and long-term investment options for clients.</li><li> Understand investment goals and recommend asset selection strategies.</li><li> Develop corrective financial action plans.</li><li> Prepare budget and cost reports for management.</li><li> Analyze and report variances for projects.</li><li> Perform or assist with financial compliance and procedural audits.</li><li> Ensure that a company's internal controls and policies are functional and adequate, and that they comply with regulatory rules.</li><li> Prepare financial statements in accordance with generally accepted accounting principles (GAAP), industry practices and regulatory guidelines.</li></ul>",financial-specialist-job-description
Accounting & Finance,Loan Counselor,"Responsible for helping clients determine if they quality for loans based on their financial situation. Explains loan options best suited for the client along with loan requirements, restrictions, and repayment policies.","<ul><li> Interview applicants to determine financial eligibility for loans.</li><li> Request specified information.</li><li> Counsel applicants on loan repayments policies and restrictions.</li><li> Research lenders to find the lowest rate possible for a loan.</li><li> Set up repayment plans and modify existing setup if necessary.</li><li> Assist in selection of financial award candidates using electronic databases to certify loan eligibility.</li><li> Maintain and review account records, updating and categorizing them according to status changes.</li><li> Ensure loan applications are complete and correct.</li><li> Review accuracies in billing.</li><li> Counsel clients on personal financial problems.</li><li> Set up payment plans for debt liquidation.</li><li> Analyze potential loan markets to find opportunities to promote loans and financial services.</li><li> Inform individuals and groups about the financial assistance available to college or university students.</li><li> Go over negative credit histories and recommend solutions to ameliorate financial situation.</li><li> Work with consumers who are behind on their payments for current loans and help them avoid defaulting on the loans.</li><li> Act as a liaison between the consumer and the lending institution.</li><li> Refer applicants to lenders who approve loans for consumers with less-than-perfect credit.</li></ul>",loan-counselor-job-description
Accounting & Finance,Loan Officer,"Responsible for helping individuals and businesses acquire loans from lenders. Analyzes and verified loan applications to determine eligibility, aid in disbursing funds, and set up debt repayment plans.","<ul><li> Interview applicants to determine financial eligibility for loans.</li><li> Request specified information.</li><li> Counsel applicants on loan repayments policies and restrictions.</li><li> Research lenders to find the lowest rate possible for a loan.</li><li> Set up repayment plans and modify existing setup if necessary.</li><li> Assist in selection of financial award candidates using electronic databases to certify loan eligibility.</li><li> Maintain and review account records, updating and categorizing them according to status changes.</li><li> Ensure loan applications are complete and correct.</li><li> Review accuracies in billing.</li><li> Counsel clients on personal financial problems.</li><li> Set up payment plans for debt liquidation.</li><li> Analyze potential loan markets to find opportunities to promote loans and financial services.</li><li> Inform individuals and groups about the financial assistance available to college or university students.</li><li> Go over negative credit histories and recommend solutions to ameliorate financial situation.</li><li> Work with consumers who are behind on their payments for current loans and help them avoid defaulting on the loans.</li><li> Act as a liaison between the consumer and the lending institution.</li><li> Refer applicants to lenders who approve loans for consumers with less-than-perfect credit.</li></ul>",loan-officer-job-description
Accounting & Finance,Mortgage Analyst,Responsible for analyzing financial and supporting documents on incoming applications consistent with internal and insurer policies. Evaluate property values based on appraised market prices and recommend or deny mortgages to clients after examining financial status.,"<ul><li> Develop and produce a mortgage portfolio for the commercial or consumer market.</li><li> Analyze financial information including operating statements and net worth statements to determine appropriate loan size, terms, and pricing.</li><li> Review various reports including appraisals, environmental documentation, and engineering reports to determine compliance with investor requirements.</li><li> Evaluate mortgage loan requests in order to approve or deny applications.</li><li> Determine property values based on appraised market prices and the borrower’s credit worthiness.</li><li> Administer mortgage and other secured loan products as per approved amount levels and in accordance with lending policies.</li><li> Investigate credit ratings with credit bureaus and reporting agencies.</li><li> Submit regular credit and loan consumption reports to management.</li><li> Visit borrower properties and homes for verification and evaluation</li></ul>",mortgage-analyst-job-description
Accounting & Finance,Mortgage Broker,Responsible for working on behalf of the mortgage lender and borrowing individual by assembling and verifying all closing documents required by title insurance company and initializing loans.,"<ul><li> Work with various lenders to find the best deal for a homebuyer. </li><li> Originate loans to sell to lending institutions.</li><li> Act as an intermediary between a lender and a borrower who needs a mortgage loan.</li><li> Evaluate pay stubs, credit history, tax information and bank statements for financial status.</li><li> Work to ensure compliance with banking and or finance laws in the jurisdiction of the consumer.</li><li> Sell loans in the name of other organizations and businesses.</li><li> Verify the income of the borrower as well as gather their credit information.</li><li> Follow through with lender and client during approval process.</li><li> Explain the legal aspects of the loan to the borrower as well as the payment terms and clauses to them.</li><li> Define repayment terms to consumer and educate them on default consequences</li></ul>",mortgage-broker-job-description
Accounting & Finance,Personal Financial Advisor,"Responsible for providing financial guidance and investment to individuals regarding investment strategies. Look at someone's overall financial picture and attempt to help them improve upon it by recommending savings, stock, or other investment decisions.","<ul><li> Provide sound financial advice to individuals.</li><li> Interview clients to determine their current income, expenses, insurance coverage, tax status, financial objectives, risk tolerance, and other information needed to develop a financial plan.</li><li> Recommend strategies clients can use to achieve their financial goals and objectives, including advice on debt management, cash management, insurance coverage, and investments.</li><li> Identify and keep abreast of new market trends.</li><li> Use spreadsheets and market research to back up financial advice.</li><li> Explain financial assistance available to college students.</li><li> Review accounts to determine if life changes necessitate new financial strategies.</li><li> Sell products such as stocks, bonds, and mutual funds.</li><li> Determine the net worth of an individual or corporation.</li><li> Oversee the investments and making changes as necessary in order to help the individual or company to gain even more money. </li><li> Handle customer complaints and resolve problems.</li></ul>",personal-financial-advisor-job-description
Accounting & Finance,Revenue Agent,Responsible for examining federal income tax returns to verify or correct tax liabilities. Determines if tax returns necessitate an independent field audit. Investigates financial transactions and operation methods to determine if they are in compliance with statutory provisions.,"Ensure that governments obtain revenues from businesses and citizens.Ensure companies and individuals are following tax code and filing correct federal income tax returns.<ul><li> Amend tax returns if discrepancies are found.</li><li> Conduct field audits to ensure compliance.</li><li> Collect overdue tax dollars.</li><li> Analyze bookkeeping and accounting records and scrutinize accounting methods.</li><li> Investigate documents, financial transactions, operation methods, industry practices and such legal instruments as vouchers, leases, contracts, and wills, to develop information regarding inclusiveness of accounting records and tax returns.</li><li> Secure taxpayer's agreement to discharge tax assessment or submits contested determination to other administrative or judicial conferees for appeals hearings.</li><li> Remain well versed in tax code.</li><li> Utilize computers to analyze data and identify trends that help to pinpoint tax offenders.</li><li> Perform office audits of financial records for business firms.</li><li> Contact taxpayers by mail or telephone to address discrepancies and to request supporting documentation.</li><li> Impose payment deadlines on delinquent taxpayers and monitor payments to ensure that deadlines are met.</li><li> Determine appropriate methods of debt settlement, such as offers of compromise, wage garnishment, or seizure and sale of property.</li><li> Direct service of legal documents, such as subpoenas, warrants, notices of assessment and garnishments.</li></ul>",revenue-agent-job-description
Accounting & Finance,Risk Analyst,"Responsible for evaluating the risk in portfolio decisions, forecasting potential losses, and deciding how to curb potential losses and volatility using diversification, currency futures, derivatives, short selling, and other investment decisions. Instrumental in helping clients minimize or eliminate financial risks that could be detrimental towards business goals.","<ul><li> Analyze and determine risks to help clients make sound financial decisions.</li><li> Determine solutions to minimize or eliminate risks.</li><li> Help clients meet financial goals.</li><li> Analyze financial statements such as profit and loss, company budget and employee headcount reports.</li><li> Compile reports showing the proposed plan of action for existing and potential clients</li><li> Review other risk factors including problems with the physical location of the organization, potential for robberies and the likelihood of employees being injured on the job.</li><li> Examine and interpret statistical reports.</li><li> Predict the future trends from the current developments in the market and recommend the management accordingly to plan the strategies.</li><li> Monitor and assess the post-period implementation of risk management strategies.</li><li> Aid in the constructive developments for the company to create good capital.</li></ul>",risk-analyst-job-description
Accounting & Finance,Tax Collector,"Responsible for collecting on delinquent tax accounts, setting up repayment plans, administering penalties for default, and identifying repeat tax offenders.","<ul><li> Resolve and collect unpaid tax debts from individuals and businesses.</li><li> Issue subpoenas and request seizures of property on default accounts.</li><li> Conduct background and financial status checks.</li><li> Research the status of claims, liens, mortgages and other financial obligations.</li><li> Enforce liens to settle debts.</li><li> Garnish wages to collect taxes.</li><li> Assist delinquent tax filers set up debt repayment methods.</li><li> Maintain a detailed reporting of tax receivable.</li><li> Work with Tax Assessor in preparing and verifying commitment.</li><li> Attend to bank foreclosures, bankruptcy cases, and auctions of real property.</li><li> Organize, direct, and supervise the work of technical and clerical staff in secured and unsecured tax collections.</li><li> Resolve taxpayer complaints.</li><li> Prepare and direct tax sales. </li><li> Review penalty appeal applications and submits them with findings and recommendations pursuant to the tax code for determination.</li><li> Analyze tax data and prepare statistical reports.</li><li> Interview and participate in the selecting, hiring, coaching, supervising and evaluating the performance of subordinate staff.</li></ul>",tax-collector-job-description
Accounting & Finance,Tax Examiner,"Responsible for examining tax-related documents, discovering, assessing, and collecting taxes, resolving tax return problems, and responding to taxpayer questions and concerns.","<ul><li> Assess collection of various taxes. </li><li> Identify non-filers and delinquent taxpayers.</li><li> Analyze claims for accuracy for the individual to be granted a refund.</li><li> Review tax returns, applications, and records for completeness and accuracy.</li><li> Interpret tax forms, laws, and policies with taxpayers.</li><li> Request supporting documentation.</li><li> Apply federal and state tax codes.</li><li> Conduct independent audits.</li><li> Determine whether law allows tax credits and deductions.</li><li> Report any adjustments or corrections they make to the States.</li><li> Work independently and with minimal supervision.</li><li> Enter tax returns into computer system for processing.</li><li> Check taxpayers' math for accuracy and ensure amounts match other reporting sources.</li><li> Verify social security numbers match names.</li><li> Assist taxpayers with interpreting tax instructions.</li><li> Assess fees, interest, and penalties and submit difference to taxpayer.</li><li> Maintain records on each case.</li><li> Keep abreast of accounting procedures and tax code.</li></ul>",tax-examiner-job-description
